slug,label,reference,unit,conversions
co2,Carbon dioxide,carbon dioxide,ppm,"{""ppm"": {""factor"": 1}, ""ppb"": {""factor"": 0.001}}"
co,Carbon monoxide,carbon monoxide,ppm,"{""ppm"": {""factor"": 1}, ""ppb"": {""factor"": 0.001}, ""mg/m³"": {""factor"": 0.8729033}}"
air_temperature,Air temperature,air temperature,°C,"{""°C"": {""factor"": 1}, ""°F"": {""factor"": 0.5555556, ""offset"": -17.777778}}"
dew_point,Dew point,dew point temperature,°C,"{""°C"": {""factor"": 1}}"
relative_humidity,Relative humidity,relative humidity,%,"{""%"": {""factor"": 1}, ""fraction"": {""factor"": 100}}"
relative_humidity_std_21_c,Relative humidity standardised at 21 °C,relative humidity,%,"{""%"": {""factor"": 1}}"
air_pressure,Air pressure,air pressure,hPa,"{""hPa"": {""factor"": 1}, ""Pa"": {""factor"": 0.01}, ""kPa"": {""factor"": 10}}"
pm1,PM1,particle mass concentration,µg/m³,"{""µg/m³"": {""factor"": 1}, ""mg/m³"": {""factor"": 1000}}"
pm2_5,PM2.5,particle mass concentration,µg/m³,"{""µg/m³"": {""factor"": 1}, ""mg/m³"": {""factor"": 1000}}"
pm4,PM4,particle mass concentration,µg/m³,"{""µg/m³"": {""factor"": 1}, ""mg/m³"": {""factor"": 1000}}"
pm10,PM10,particle mass concentration,µg/m³,"{""µg/m³"": {""factor"": 1}, ""mg/m³"": {""factor"": 1000}}"
particle_mass_concentration,Particle mass concentration,particle mass concentration,µg/m³,"{""µg/m³"": {""factor"": 1}, ""mg/m³"": {""factor"": 1000}}"
particle_mass_concentration_alveolar,Particle mass concentration (alveolar),particle mass concentration,µg/m³,"{""µg/m³"": {""factor"": 1}}"
particle_mass_concentration_tracheobronchial,Particle mass concentration (tracheobronchial),particle mass concentration,µg/m³,"{""µg/m³"": {""factor"": 1}}"
particle_mass_concentration_head_airways,Particle mass concentration (head airways),particle mass concentration,µg/m³,"{""µg/m³"": {""factor"": 1}}"
particle_number_concentration,Particle number concentration,particle number concentration,#/cm³,"{""#/cm³"": {""factor"": 1}, ""#/L"": {""factor"": 0.001}, ""#/m³"": {""factor"": 0.000001}}"
particle_number,Particle number concentration,particle number concentration,#/cm³,"{""#/cm³"": {""factor"": 1}, ""#/L"": {""factor"": 0.001}}"
total_ufp,Ultrafine particle number concentration,particle number concentration,#/cm³,"{""#/cm³"": {""factor"": 1}, ""#/L"": {""factor"": 0.001}}"
pn1,Particle number concentration ≤1 µm,particle number concentration,#/cm³,"{""#/cm³"": {""factor"": 1}, ""#/L"": {""factor"": 0.001}}"
pn25,Particle number concentration ≤2.5 µm,particle number concentration,#/cm³,"{""#/cm³"": {""factor"": 1}, ""#/L"": {""factor"": 0.001}}"
pn10,Particle number concentration ≤10 µm,particle number concentration,#/cm³,"{""#/cm³"": {""factor"": 1}, ""#/L"": {""factor"": 0.001}}"
